file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/ana/Qualidade de Software/Commit 3 - Fevereiro/james-project-fevereiro/james-project-f0f8aec934cd789c214274420262bd1f8f367b69/mailbox/memory/src/test/java/org/apache/james/mailbox/inmemory/InMemoryCombinationManagerTest.java,org.apache.james.mailbox.inmemory.InMemoryCombinationManagerTest,class,4,4,0,4,1,2,0,3,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,13,0,0
/home/ana/Qualidade de Software/Commit 3 - Fevereiro/james-project-fevereiro/james-project-f0f8aec934cd789c214274420262bd1f8f367b69/protocols/imap/src/main/java/org/apache/james/imap/processor/CloseProcessor.java,org.apache.james.imap.processor.CloseProcessor,class,14,16,2,14,4,3,0,23,3,0.6666667,0.0,0.0,3,0,1,0,2,0,3,0,0,0,1,1,0,1,0,0,1,0,0,23,5,0,0,0,0,2,0,2,0,4,2,0,0,4,36,1,0
/home/ana/Qualidade de Software/Commit 3 - Fevereiro/james-project-fevereiro/james-project-f0f8aec934cd789c214274420262bd1f8f367b69/backends-common/opensearch/src/main/java/org/apache/james/backends/opensearch/OpenSearchConfiguration.java,org.apache.james.backends.opensearch.OpenSearchConfiguration$SSLConfiguration$Builder,innerclass,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,9,0
/home/ana/Qualidade de Software/Commit 3 - Fevereiro/james-project-fevereiro/james-project-f0f8aec934cd789c214274420262bd1f8f367b69/mailbox/plugin/deleted-messages-vault-cassandra/src/main/java/org/apache/james/vault/metadata/MetadataSerializer.java,org.apache.james.vault.metadata.MetadataSerializer,class,8,12,4,8,8,1,0,13,0,0.53333336,0.33333334,0.33333334,5,0,0,2,0,3,3,0,0,0,3,1,0,3,0,0,3,0,5,39,6,0,0,3,0,2,0,4,0,4,1,0,0,0,38,0,2
/home/ana/Qualidade de Software/Commit 3 - Fevereiro/james-project-fevereiro/james-project-f0f8aec934cd789c214274420262bd1f8f367b69/mailbox/store/src/main/java/org/apache/james/mailbox/store/event/EventFactory.java,org.apache.james.mailbox.store.event.EventFactory$RequireUpdatedFlags,interface,4,4,0,4,3,1,0,3,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
/home/ana/Qualidade de Software/Commit 3 - Fevereiro/james-project-fevereiro/james-project-f0f8aec934cd789c214274420262bd1f8f367b69/third-party/clamav/src/test/java/org/apache/james/clamav/ClamAVScanTest.java,org.apache.james.clamav.ClamAVScanTest,class,10,10,0,10,9,1,0,28,0,0.44444445,0.6666667,1.0,9,2,1,0,0,8,9,0,0,0,2,1,0,2,0,0,1,0,7,58,0,0,0,0,0,32,4,18,0,18,0,0,0,0,75,0,0
/home/ana/Qualidade de Software/Commit 3 - Fevereiro/james-project-fevereiro/james-project-f0f8aec934cd789c214274420262bd1f8f367b69/protocols/smtp/src/main/java/org/apache/james/protocols/smtp/core/fastfail/ReverseEqualsEhloHeloHandler.java,org.apache.james.protocols.smtp.core.fastfail.ReverseEqualsEhloHeloHandler,class,2,3,1,2,3,2,1,5,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,1,0,0,0,1,0,1,2,0,0,0,22,1,0
/home/ana/Qualidade de Software/Commit 3 - Fevereiro/james-project-fevereiro/james-project-f0f8aec934cd789c214274420262bd1f8f367b69/server/data/data-jpa/src/main/java/org/apache/james/rrt/jpa/model/JPARecipientRewrite.java,org.apache.james.rrt.jpa.model.JPARecipientRewrite$RecipientRewriteTableId,innerclass,1,1,0,1,6,1,0,3,1,0.5555556,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,3,1,0,3,0,0,1,0,0,20,4,0,3,0,0,0,1,2,0,4,1,0,0,0,25,9,0
/home/ana/Qualidade de Software/Commit 3 - Fevereiro/james-project-fevereiro/james-project-f0f8aec934cd789c214274420262bd1f8f367b69/mailet/crypto/src/main/java/org/apache/james/transport/SMIMEKeyHolder.java,org.apache.james.transport.SMIMEKeyHolder,class,10,12,2,10,26,1,0,36,53,0.73333335,0.1978022,0.30769232,15,5,14,1,0,0,14,0,0,0,4,0,0,4,0,0,4,0,11,111,16,0,6,1,0,14,3,19,3,15,2,0,0,0,190,1,0
/home/ana/Qualidade de Software/Commit 3 - Fevereiro/james-project-fevereiro/james-project-f0f8aec934cd789c214274420262bd1f8f367b69/server/mailet/integration-testing/src/test/java/org/apache/james/mailets/BounceIntegrationTest.java,org.apache.james.mailets.BounceIntegrationTest,class,30,31,1,30,14,1,0,46,0,0.53968257,0.8181818,0.8181818,14,1,1,3,0,10,11,0,0,0,9,6,8,1,0,0,6,0,10,76,3,0,0,0,0,37,1,11,14,12,0,0,0,1,83,0,0
